banc
bureau
cabinet
carreau
chaise
classe
cle
coin
couloir
dossier
eau
ecole
ecriture
entree
escalier
etagere
etude
exterieur
fenetre
interieur
lavabo
lecture
lit
marche
matelas
maternelle
meuble
mousse
mur
porte
portemanteau
poubelle
radiateur
rampe
recreation
rentree
toilette
armoire
ascenseur
bibliotheque
cafeteria
cartable
chauffage
cheminee
chambre
chevet
climatiseur
cloison
coffre
colle
comptoir
couchette
coussin
crayon
cuisine
douche
eclairage
ecran
etagere
evier
fauteuil
fenêtre
feuille
interrupteur
jouet
lampe
livre
loquet
miroir
moquette
ordinateur
oreiller
parquet
placard
plafond
plante
poignee
portail
portillon
refrigerateur
rideau
salle
salon
savon
serviette
siege
souris
table
tabouret
tapis
telephone
television
terrain
terrasse
tiroir
tuyau
vaisselle
ventilateur
verrou
vestiaire
vitres
paris
londres
tokyo
berlin
shanghai
istanbul
sydney
mumbai
dubai
moscou
rome
toronto
singapour
seoul
madrid
barcelone
chine
russie
inde
japon
allemagne
france
bresil
mexique
canada
italie
espagne
australie
turquie
iran
egypte
nigeria
